epoch,train_loss,val_base_mae,val_base_mse,val_counterfactual_lambda0_mse,val_counterfactual_lambda1_mse,val_final_mae,val_final_mse,val_gate_gt_0.10,val_gate_gt_0.50,val_gate_gt_0.98,val_gate_lt_0.02,val_gate_max,val_gate_mean,val_gate_median,val_gate_min,val_gate_p10,val_gate_p25,val_gate_p75,val_gate_p90,val_gate_std,val_projected_retrieval_branch_mae,val_projected_retrieval_branch_mse,val_raw_retrieval_aggregate_mae,val_raw_retrieval_aggregate_mse
1,0.5549451637584552,0.8668092679032801,1.5212206996101985,1.5212206996101985,1.723849249674515,0.8829466190880177,1.5471406436786597,0.8177431225776672,0.16586236655712128,0.001189925242215395,0.07013948261737823,0.998760461807251,0.2957417964935303,0.26672154664993286,5.81605636398308e-05,0.04583277925848961,0.1353733390569687,0.4277995228767395,0.5778741240501404,0.20404931902885437,0.9437567455497161,1.723849249674515,0.9437567491362483,1.7238492338937734
2,0.5055139660835266,0.8944786047288054,1.6340658258630172,1.6340658258630172,1.723849249674515,0.8883696938834534,1.595820374475276,0.8763799667358398,0.16692008078098297,0.0010577114298939705,0.004032524768263102,0.9989845156669617,0.31252557039260864,0.2838420867919922,0.002190343104302883,0.08831476420164108,0.15467648208141327,0.4321824908256531,0.5823798179626465,0.19398657977581024,0.9437567455497161,1.723849249674515,0.9437567491362483,1.7238492338937734
3,0.4994177103570077,0.9093094751331091,1.6770016758860629,1.6770016758860629,1.723849249674515,0.9097365525701836,1.649126716715145,0.8653401136398315,0.18199247121810913,0.000793283514212817,0.05136510729789734,0.9979830980300903,0.33764731884002686,0.340676873922348,0.0001778580481186509,0.06293681263923645,0.21566444635391235,0.45795774459838867,0.5696338415145874,0.1863970160484314,0.9437567455497161,1.723849249674515,0.9437567491362483,1.7238492338937734
4,0.5018497862383328,0.8677963414531275,1.545833332616027,1.545833332616027,1.723849249674515,0.8729081364585399,1.557844116715742,0.6880412697792053,0.10834930837154388,6.610696436837316e-05,0.18979308009147644,0.9841852188110352,0.2378109097480774,0.21268004179000854,7.776779775703346e-10,0.0015259555075317621,0.051359716802835464,0.3814803957939148,0.5094664096832275,0.19501535594463348,0.9437567455497161,1.723849249674515,0.9437567491362483,1.7238492338937734
5,0.4909405360179665,0.8676875881139225,1.5209199007431524,1.5209199007431524,1.723849249674515,0.8707671768781263,1.5258026278836867,0.6678786277770996,0.08759172260761261,0.0001322139287367463,0.1593177765607834,0.9888074398040771,0.2202378362417221,0.18782715499401093,2.3499065804344355e-08,0.005776956677436829,0.05783641338348389,0.3438303470611572,0.48297709226608276,0.18364578485488892,0.9437567455497161,1.723849249674515,0.9437567491362483,1.7238492338937734
6,0.49014858571828995,0.8864441234928531,1.6050177213424028,1.6050177213424028,1.723849249674515,0.8854014597702415,1.5829807076417353,0.8905929923057556,0.14695577323436737,0.0002644278574734926,0.00409863144159317,0.9854394197463989,0.3074794411659241,0.2905215919017792,0.0031819057185202837,0.0948856920003891,0.16089117527008057,0.41884845495224,0.5510997772216797,0.17744454741477966,0.9437567455497161,1.723849249674515,0.9437567491362483,1.7238492338937734
7,0.4866259530582259,0.88977675608953,1.629154053550311,1.629154053550311,1.723849249674515,0.8982321150830377,1.6222604847820858,0.960468053817749,0.21755801141262054,0.0001322139287367463,0.0008593904785811901,0.9871079325675964,0.36376330256462097,0.3402899205684662,0.003943005111068487,0.142276331782341,0.2233160436153412,0.4766062796115875,0.6198580265045166,0.18283557891845703,0.9437567455497161,1.723849249674515,0.9437567491362483,1.7238492338937734
8,0.4820779597601004,0.8784816400970624,1.5795376087780864,1.5795376087780864,1.723849249674515,0.8676946919582029,1.5330614038983825,0.9855225682258606,0.10372181981801987,0.0,0.0002644278574734926,0.9597287774085999,0.33039289712905884,0.3189243674278259,0.006773634813725948,0.17410068213939667,0.23533561825752258,0.4109842777252197,0.5030050873756409,0.13061955571174622,0.9437567455497161,1.723849249674515,0.9437567491362483,1.7238492338937734
9,0.47916698099765104,0.9427439820285471,1.802325173915249,1.802325173915249,1.723849249674515,0.9070289517501818,1.6554383111014246,0.9198122620582581,0.16665564477443695,6.610696436837316e-05,0.005156342871487141,0.9801998138427734,0.3474425673484802,0.3501870930194855,0.007237414829432964,0.11936093866825104,0.23746143281459808,0.4533964693546295,0.5526925325393677,0.1621633917093277,0.9437567455497161,1.723849249674515,0.9437567491362483,1.7238492338937734
10,0.47797229872868124,0.9617819698026615,1.8502580538592692,1.8502580538592692,1.723849249674515,0.9052646684288304,1.6616618152363232,0.9810934066772461,0.18443842232227325,0.0,0.0002644278574734926,0.9438311457633972,0.36467328667640686,0.3469103276729584,0.005808411166071892,0.17083127796649933,0.2519032061100006,0.45792943239212036,0.5754901170730591,0.15859274566173553,0.9437567455497161,1.723849249674515,0.9437567491362483,1.7238492338937734
