step,chosen_normalized_regret,chosen_raw_regret,effective_positive_count,expert_containment_at_1,expert_containment_at_10,expert_containment_at_5,expert_rank_fraction,expert_rank_mean,expert_rank_median,expert_regret_mean,is_t0_hard_ce,n_valid_mean,ndcg_at_10,normalized_teacher_entropy,oracle_action_acc,pred_rank_mean,selected_individual_future_mse,spearman,student_entropy,support_size,teacher_entropy,teacher_ess,top10_acc,top1_acc,top1_top2_margin_mean,top5_acc,topm_probability_mass
0,12.743336863719025,0.48459808906395135,9.453223928228601,0.009537337662337662,0.07396509740259741,0.03911323051948052,0.10449325109920056,882.863484172078,603.0113636363636,0.48459808906395135,1.0,8449.0,0.9710248677761524,0.9755599006236374,0.009537337662337662,881.863484172078,0.6755743131174573,0.15861491644868722,6.124305374436564,10.0,2.2463097189153944,8.919873531762656,0.07396509740259741,0.009537337662337662,0.022060159718929245,0.03911323051948052,0.03073191452350837
1,8.346937829072212,0.2419176227261929,9.4479693127917,0.03901176948051948,0.26466112012987014,0.1563007305194805,0.015402537515910808,130.12063717532467,68.7353896103896,0.2419176227261929,0.0,8448.0,0.7091917223357534,0.9753183913114783,0.03901176948051948,129.12063717532467,0.7885078199679492,0.30308378565970884,6.1505883343808065,10.0,2.2457536188038913,8.90177165533041,0.26466112012987014,0.03901176948051948,0.026387935191214875,0.1563007305194805,0.06778263633990624
2,4.945333747217408,0.1654002851150422,9.444597138986959,0.040482954545454544,0.28475040584415584,0.16776582792207792,0.011062057899835054,93.44120332792208,42.56655844155844,0.1654002851150422,0.0,8447.0,0.6741074268016722,0.9751630951831867,0.040482954545454544,92.44120332792208,0.7806282849595337,0.25106254877237477,6.17089953670254,10.0,2.245396040863805,8.890558180870947,0.28475040584415584,0.040482954545454544,0.021093320297477947,0.16776582792207792,0.06701864611641685
3,3.9217444118354226,0.12573280436283146,9.44250077860696,0.037743506493506496,0.28292410714285715,0.1622362012987013,0.009915275826359277,83.74441964285714,38.103896103896105,0.12573280436283146,0.0,8446.0,0.6566225983105697,0.9750322207034409,0.037743506493506496,82.74441964285714,0.7852439780102728,0.21550030829238548,6.190214273991523,10.000811688311689,2.2451532185077667,8.882699985008735,0.28292410714285715,0.037743506493506496,0.017424182686416125,0.1622362012987013,0.0654025869519607
4,3.527387253988486,0.10201221446555059,9.440024522991923,0.037388392857142856,0.2827719155844156,0.16183035714285715,0.009213112914736697,77.80473823051948,36.339285714285715,0.10201221446555059,0.0,8445.0,0.6435300788128531,0.9749070150511605,0.037388392857142856,76.80473823051948,0.7811454556543719,0.18808281368887356,6.20749728788029,10.001065340909092,2.244881235159837,8.875641335140575,0.2827719155844156,0.037388392857142856,0.014853056056074218,0.16183035714285715,0.0639749348508315
5,3.213001014156775,0.08565110649895406,9.43734304781084,0.03535917207792208,0.2832284902597403,0.1638088474025974,0.008655735671969264,73.08903206168831,35.878246753246756,0.08565110649895406,0.0,8444.0,0.6353232473522038,0.9748294039012549,0.03535917207792208,72.08903206168831,0.7870601799048773,0.16896328136169,6.223550636272926,10.0,2.244627691708602,8.869424830783498,0.2832284902597403,0.03535917207792208,0.012928043872850506,0.1638088474025974,0.06290212567357419
6,3.0621078762334664,0.07352166133479203,9.438487481761289,0.03556209415584415,0.2813007305194805,0.16269277597402598,0.008528002804918547,72.00192775974025,34.25487012987013,0.07352166133479203,0.0,8443.0,0.6289829375198135,0.9748359492846898,0.03556209415584415,71.00187702922078,0.7847576264243621,0.15202441057056074,6.238579345987989,10.001065340909092,2.2447157347357116,8.870104432106018,0.2813007305194805,0.03556209415584415,0.011447905406715687,0.16269277597402598,0.061714641878369274
7,2.9225235026958702,0.06458034528216783,9.438060830165814,0.03459821428571429,0.27719155844155846,0.1575689935064935,0.008500060160506771,71.75750811688312,34.65584415584416,0.06458034528216783,0.0,8442.0,0.6248120429937716,0.9747966264749502,0.03459821428571429,70.75750811688312,0.7894309007248225,0.14056669548357836,6.252755902804338,10.001521915584416,2.244636492682742,8.868079832621984,0.27719155844155846,0.03459821428571429,0.010154327424073005,0.1575689935064935,0.06062929451544225
8,2.8238087485154315,0.05684769763943872,9.437548021217445,0.03546063311688312,0.2726258116883117,0.15452516233766234,0.008480807402969283,71.58649553571429,35.464285714285715,0.05684769763943872,0.0,8441.0,0.6216213564303789,0.97481549482841,0.03546063311688312,70.58649553571429,0.7922717095896988,0.1294100632453594,6.266345712271604,10.000558035714286,2.2446326210901333,8.867562842059446,0.2726258116883117,0.03546063311688312,0.009172193532735533,0.15452516233766234,0.05991435148481086
9,2.7751932049823274,0.05101243281123144,9.438365372744473,0.03398944805194805,0.2658786525974026,0.1497564935064935,0.008532987575527876,72.01841517857143,36.26948051948052,0.05101243281123144,0.0,8440.0,0.6180760581772049,0.9747842110983738,0.03398944805194805,71.01841517857143,0.7820075045781234,0.12010645021623195,6.279315748772063,10.0020799512987,2.244609343541133,8.867425878326614,0.2658786525974026,0.03398944805194805,0.00834108280861227,0.1497564935064935,0.058860394642567385
